atr_len_l,atr_len_s,atr_mult_l,atr_mult_s,roc_len_l,roc_len_s,roc_thresh_l,roc_thresh_s,sl_pct_l,sl_pct_s,2025,2025_DD,2026,2026_DD,win_rate,profit_factor,n_trades,Total,Total_L,Total_S,Total_DD
3,3,1.0,0.5,10,60,5.0,4.0,4.0,3.0,-13.18000602722168,-27.5,-96.12000274658203,-55.5999755859375,0.17647058823529413,0.6447200964788987,17,-109.30000877380371,-14.700000047683716,-97.00000190734863,-55.5999755859375
2,2,1.0,1.0,10,60,4.0,4.0,4.0,4.0,-6.989980697631836,-47.0,-31.79999542236328,-47.0999755859375,0.32,0.9307856981768284,25,-38.78997611999512,-14.380002051591873,-11.80999755859375,-47.0999755859375
2,3,1.0,1.0,10,60,5.0,5.0,3.0,3.0,-30.57001304626465,-27.5,-43.529998779296875,-32.29998779296875,0.1875,0.737342953083976,16,-74.10001182556152,-15.800000190734863,-53.20000648498535,-32.29998779296875
3,3,0.5,0.5,10,60,4.0,5.0,4.0,4.0,-56.77000427246094,-41.5999755859375,-84.02999877929688,-67.5999755859375,0.36666666666666664,0.7661362104012825,30,-140.8000030517578,13.71999967098236,-118.93999576568604,-67.5999755859375
3,2,1.0,0.5,10,60,5.0,4.0,4.0,4.0,-68.09000396728516,-41.5999755859375,-71.93000030517578,-41.39996337890625,0.1875,0.587331938985787,16,-140.02000427246094,-14.700000047683716,-127.72000122070312,-41.5999755859375
2,2,0.5,0.5,10,60,4.0,5.0,3.0,3.0,-57.71999740600586,-27.699951171875,-94.12000274658203,-41.39996337890625,0.3055555555555556,0.7286720981222345,36,-151.8400001525879,-8.829999208450317,-116.3199954032898,-41.39996337890625
2,2,0.5,0.5,10,60,4.0,4.0,4.0,4.0,22.409996032714844,-41.5999755859375,-84.02999877929688,-67.5999755859375,0.4,0.88933761983307,35,-61.62000274658203,9.720000982284546,-60.139994621276855,-67.5999755859375
2,2,0.5,0.5,10,60,4.0,5.0,3.0,4.0,-91.92997741699219,-41.5999755859375,-84.02999877929688,-67.5999755859375,0.3333333333333333,0.6823163960021019,33,-175.95997619628906,-8.829999208450317,-140.43999576568604,-67.5999755859375
3,3,1.0,0.5,10,60,4.0,5.0,3.0,4.0,-60.33000946044922,-41.5999755859375,-98.12999725341797,-67.5999755859375,0.24,0.645651597852496,25,-158.4600067138672,-28.219999693334103,-132.64000129699707,-67.5999755859375
3,2,1.0,1.0,10,60,4.0,5.0,4.0,4.0,-81.90000915527344,-47.0,-31.79999542236328,-47.0999755859375,0.25,0.7239951254408109,24,-113.70000457763672,-45.090002201497555,-68.2099986076355,-47.0999755859375
3,2,0.5,1.0,10,60,4.0,4.0,4.0,4.0,30.210002899169922,-47.0,-3.299999237060547,-47.0999755859375,0.4375,1.1027328011058903,32,26.910003662109375,44.4200005531311,-4.909992694854736,-47.0999755859375
3,3,0.5,1.0,10,60,5.0,4.0,4.0,3.0,55.53999710083008,-29.79998779296875,-43.529998779296875,-32.29998779296875,0.32142857142857145,1.0263364769721792,28,12.009998321533203,34.30000066757202,-24.590004920959473,-32.29998779296875
2,3,0.5,1.0,10,60,4.0,5.0,4.0,3.0,-76.489990234375,-33.4000244140625,-59.42999267578125,-55.5999755859375,0.3333333333333333,0.7819359449314907,33,-135.91998291015625,15.220000505447388,-115.5599946975708,-55.5999755859375
2,3,1.0,0.5,10,60,4.0,4.0,4.0,3.0,73.80999755859375,-33.4000244140625,-108.2199935913086,-41.39996337890625,0.3103448275862069,0.9431002123018065,29,-34.409996032714844,-9.37999951839447,-13.829992771148682,-41.39996337890625
3,2,1.0,1.0,10,60,5.0,4.0,3.0,3.0,-21.269994735717773,-27.5,-43.529998779296875,-32.29998779296875,0.1875,0.7548534444180334,16,-64.79999351501465,-15.800000190734863,-48.60000038146973,-32.29998779296875
2,3,1.0,1.0,10,60,5.0,4.0,4.0,4.0,-89.81001281738281,-47.0,-48.06999969482422,-55.5999755859375,0.2,0.5932981985980678,15,-137.88001251220703,-15.800000190734863,-116.9800033569336,-55.5999755859375
2,3,1.0,1.0,10,60,4.0,4.0,4.0,3.0,10.879993438720703,-33.4000244140625,-94.12999725341797,-55.5999755859375,0.2413793103448276,0.8350262615691793,29,-83.25000381469727,-22.5799999833107,-48.070003509521484,-55.5999755859375
2,2,0.5,0.5,10,60,5.0,5.0,3.0,3.0,-84.52999877929688,-27.5,-108.2199935913086,-41.39996337890625,0.17857142857142858,0.5458028366944886,28,-192.74999237060547,-39.87000000476837,-161.67999029159546,-41.39996337890625
2,3,1.0,1.0,10,60,5.0,5.0,4.0,3.0,-30.57001304626465,-27.5,-43.529998779296875,-32.29998779296875,0.1875,0.737342953083976,16,-74.10001182556152,-15.800000190734863,-53.20000648498535,-32.29998779296875
2,2,1.0,1.0,10,60,5.0,4.0,3.0,3.0,-21.269994735717773,-27.5,-43.529998779296875,-32.29998779296875,0.1875,0.7548534444180334,16,-64.79999351501465,-15.800000190734863,-48.60000038146973,-32.29998779296875
2,2,0.5,1.0,10,60,4.0,4.0,3.0,3.0,73.81999206542969,-29.79998779296875,-59.42999267578125,-55.5999755859375,0.4166666666666667,1.0653653458530223,36,14.389999389648438,50.84000062942505,-23.849995613098145,-55.5999755859375
2,2,1.0,0.5,10,60,4.0,5.0,3.0,3.0,-53.02001190185547,-27.699951171875,-108.2199935913086,-41.39996337890625,0.21428571428571427,0.6967887422942661,28,-161.24000549316406,-25.019999623298645,-109.52999544143677,-41.39996337890625
