atr_len_l,atr_len_s,atr_mult_l,atr_mult_s,roc_len_l,roc_len_s,roc_thresh_l,roc_thresh_s,sl_pct_l,sl_pct_s,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3,2022,2023,2024,2025,2022M1,2022M2,2022M3,2022M4,2022M5,2022M6,2022M7,2022M8,2022M9,2022M10,2022M11,2022M12,2023M1,2023M2,2023M3,2023M4,2023M5,2023M6,2023M7,2023M8,2023M9,2023M10,2023M11,2023M12,2024M1,2024M2,2024M3,2024M4,2024M5,2024M6,2024M7,2024M8,2024M9,2024M10,2024M11,2024M12,2025M1,2025M2,2025M3,2025M4,2025M5,2025M6,2025M7,2025M8,2025M9,2025M10,2025M11,2025M12,2026M1,2026M2,2026M3,2026M4,2026M5,2026M6,2026M7,2026M8,2026M9,2026M10,2026M11,Total,Total_DD
3,3,1.0,0.5,10,60,5.0,4.0,4.0,3.0,96.5,0.0,0.0,0.0,103.29799999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.60000000000002,-42.24300000000028,-94.44900000000018,-26.08800000000008,-96.11700000000019,0.0,0.0,96.5,103.29799999999989,0.0,-13.180000000000518,0.0,96.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.29799999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.60000000000002,0.0,0.0,0.0,-42.24300000000028,-69.84600000000012,-24.603000000000065,0.0,-26.08800000000008,0.0,0.0,0.0,-96.11700000000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.50099999999918,-55.60000000000002
2,2,1.0,1.0,10,60,4.0,4.0,4.0,4.0,90.54399999999998,0.0,0.0,0.0,71.68799999999999,0.0,0.0,66.99999999999989,0.0,0.0,-37.34400000000005,68.0,92.21999999999991,-8.976000000000226,-159.29200000000014,11.363999999999919,-31.796000000000163,0.0,0.0,90.54399999999998,138.68799999999987,30.65599999999995,-6.9920000000004165,0.0,-27.255999999999972,117.79999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.68799999999999,0.0,0.0,0.0,0.0,0.0,0.0,66.99999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.475999999999999,-35.86800000000005,68.0,0.0,0.0,21.0,100.89999999999998,-29.680000000000064,-26.500000000000114,74.70000000000005,-57.17600000000016,-89.08400000000006,-32.208000000000084,-38.0,45.90000000000009,-34.53600000000017,0.0,-34.728000000000065,2.9319999999999027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.09999999999923,-47.09999999999991
2,3,1.0,1.0,10,60,5.0,5.0,3.0,3.0,93.70000000000005,0.0,0.0,0.0,88.99999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.79999999999995,-46.007000000000176,-115.4580000000002,-25.911000000000058,-43.527000000000044,0.0,0.0,93.70000000000005,88.99999999999989,0.0,-30.567000000000462,0.0,93.70000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.99999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.79999999999995,0.0,0.0,0.0,-46.007000000000176,-90.85500000000013,-24.603000000000065,0.0,-25.911000000000058,0.0,0.0,-26.44799999999998,-17.079000000000065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.60599999999943,-32.90000000000009
3,3,0.5,0.5,10,60,4.0,5.0,4.0,4.0,-37.55600000000004,27.932000000000016,0.0,0.0,52.16399999999999,0.0,0.0,29.100000000000023,0.0,25.200000000000045,-28.99599999999998,68.0,44.535999999999945,-5.568000000000211,-126.78399999999999,1.363999999999919,-84.03200000000004,0.0,0.0,-9.624000000000024,81.26400000000001,64.20400000000006,-56.772000000000276,0.0,-18.65599999999995,-18.90000000000009,0.0,27.932000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.16399999999999,0.0,0.0,0.0,0.0,0.0,0.0,-9.300000000000068,0.0,38.40000000000009,0.0,0.0,0.0,25.200000000000045,0.0,0.0,0.0,6.872000000000071,-35.86800000000005,68.0,0.0,0.0,-35.58400000000006,110.70000000000005,-30.58000000000004,-2.344000000000051,43.19999999999993,-46.42400000000009,-93.28800000000001,-32.21600000000001,-33.49599999999998,35.10000000000002,-33.736000000000104,0.0,-56.799999999999955,-27.232000000000085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.960000000000264,-67.60000000000002
3,2,1.0,0.5,10,60,5.0,4.0,4.0,4.0,96.5,0.0,0.0,0.0,93.96399999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.60000000000002,-56.12400000000025,-126.78399999999999,-34.78399999999999,-71.93200000000002,0.0,0.0,96.5,93.96399999999994,0.0,-68.09200000000021,0.0,96.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.96399999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.60000000000002,0.0,0.0,0.0,-56.12400000000025,-93.28800000000001,-32.21600000000001,-33.49599999999998,-34.78399999999999,0.0,0.0,0.0,-71.93200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.43999999999971,-41.60000000000002
2,2,0.5,0.5,10,60,4.0,5.0,3.0,3.0,-47.972000000000094,-58.23300000000006,0.0,0.0,94.59799999999996,0.0,0.0,42.947000000000116,0.0,-36.299999999999955,-65.1640000000001,68.0,40.264000000000124,-35.317000000000235,-94.44900000000018,9.523000000000025,-94.1120000000002,0.0,0.0,-106.20500000000015,137.54500000000007,-33.464000000000055,-57.71900000000028,0.0,-18.4670000000001,-29.504999999999995,0.0,-58.23300000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.59799999999996,0.0,0.0,0.0,0.0,0.0,0.0,4.5470000000000255,-25.65300000000002,38.40000000000009,0.0,0.0,0.0,-55.10000000000002,0.0,18.800000000000068,0.0,-10.491999999999962,-54.67200000000014,68.0,0.0,0.0,-26.687999999999988,109.70000000000005,-42.747999999999934,-34.18299999999999,35.37799999999993,-36.51200000000017,-69.84600000000012,-24.603000000000065,0.0,35.10000000000002,-25.576999999999998,0.0,-26.295000000000073,-67.81700000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-153.9550000000006,-41.39999999999998
2,2,0.5,0.5,10,60,4.0,4.0,4.0,4.0,92.34400000000005,0.0,0.0,0.0,52.16399999999999,0.0,0.0,58.39999999999998,0.0,27.799999999999955,-32.644000000000005,68.0,108.81999999999994,-8.168000000000234,-126.78399999999999,18.86399999999992,-84.03200000000004,0.0,0.0,92.34400000000005,110.56399999999996,63.15599999999995,22.411999999999694,0.0,-27.65599999999995,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.16399999999999,0.0,0.0,0.0,0.0,0.0,0.0,58.39999999999998,0.0,0.0,0.0,0.0,0.0,27.799999999999955,0.0,0.0,0.0,3.2240000000000464,-35.86800000000005,68.0,0.0,0.0,29.699999999999932,109.70000000000005,-30.58000000000004,-48.84400000000005,43.19999999999993,-2.5240000000001146,-93.28800000000001,-32.21600000000001,-33.49599999999998,52.60000000000002,-33.736000000000104,0.0,-56.799999999999955,-27.232000000000085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.44399999999962,-67.60000000000002
2,2,0.5,0.5,10,60,4.0,5.0,3.0,4.0,-47.072,27.932000000000016,0.0,0.0,52.16399999999999,0.0,0.0,48.000000000000114,0.0,4.899999999999977,-28.99599999999998,68.0,59.85200000000009,-48.61700000000019,-126.78399999999999,1.363999999999919,-84.03200000000004,0.0,0.0,-19.139999999999986,100.1640000000001,43.903999999999996,-91.92500000000018,0.0,-17.567000000000007,-29.504999999999995,0.0,27.932000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.16399999999999,0.0,0.0,0.0,0.0,0.0,0.0,48.000000000000114,17.800000000000068,0.0,0.0,0.0,0.0,4.899999999999977,0.0,0.0,0.0,6.872000000000071,-35.86800000000005,68.0,0.0,0.0,-26.687999999999988,109.70000000000005,-23.159999999999968,-41.42399999999998,43.19999999999993,-50.39300000000014,-93.28800000000001,-32.21600000000001,-33.49599999999998,35.10000000000002,-33.736000000000104,0.0,-56.799999999999955,-27.232000000000085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.02900000000011,-67.60000000000002
3,3,1.0,0.5,10,60,4.0,5.0,3.0,4.0,-44.83800000000008,27.932000000000016,0.0,0.0,52.16399999999999,0.0,0.0,75.0,0.0,0.0,-33.696000000000026,113.5,83.34000000000003,-37.00700000000029,-126.78399999999999,-2.136000000000081,-98.13200000000006,0.0,0.0,-16.906000000000063,127.16399999999999,79.80399999999997,-60.32700000000034,0.0,-15.567000000000007,-29.271000000000072,0.0,27.932000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.16399999999999,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1720000000000255,-35.86800000000005,113.5,0.0,0.0,0.0,108.10000000000002,-24.75999999999999,-18.024,79.39999999999998,-98.38300000000027,-93.28800000000001,-32.21600000000001,-33.49599999999998,33.30000000000007,-35.43600000000015,0.0,-63.0,-35.13200000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.602999999999497,-67.60000000000002
3,2,1.0,1.0,10,60,4.0,5.0,4.0,4.0,-46.15600000000006,27.932000000000016,0.0,0.0,37.18799999999999,0.0,0.0,78.39999999999998,0.0,0.0,-33.696000000000026,113.5,71.41999999999996,-61.18800000000033,-159.29200000000014,9.463999999999942,-31.796000000000163,0.0,0.0,-18.224000000000046,115.58799999999997,79.80399999999997,-81.90400000000045,0.0,-27.255999999999972,-18.90000000000009,0.0,27.932000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.18799999999999,0.0,0.0,0.0,0.0,0.0,0.0,78.39999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1720000000000255,-35.86800000000005,113.5,0.0,0.0,0.0,103.60000000000002,-32.180000000000064,-26.500000000000114,74.70000000000005,-109.38800000000026,-89.08400000000006,-32.208000000000084,-38.0,44.90000000000009,-35.43600000000015,0.0,-34.728000000000065,2.9319999999999027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.46799999999928,-47.09999999999991
